name,team
Ricardo Olivar,MIN
Sam Brown,LAA
Tyler Tolbert,KC
Raynel Delgado,MIL
Dom Nunez,CLE
Blake Hunt,SEA
Nick Raposo,SEA
Andrew Knapp,
Cody Freeman,TEX
Joe Mack,MIA
BJ Murray,CHC
Andrew Cossetti,MIN
Ben Cowles,CHC
Xavier Isaac,TB
Nick Dunn,SEA
Tanner Murray,TB
Luca Tresh,KC
Nathan Martorella,MIA
Jack Dunn,WSH
Ben Williamson,SEA
Cole Tucker,
Darrien Miller,MIL
Brandon Valenzuela,SD
Brian O'Keefe,KC
Dayan Frias,CLE
Quincy Hamilton,HOU
Matt Gorski,PIT
Gavin Cross,KC
Wes Clarke,MIL
Brice Matthews,HOU
Luke Ritter,NYM
Frederick Bencosme,BAL
Billy Hamilton,FA
Carlos Perez,CHC
Yordys Valdes,CLE
Sammy Siani,PIT
Kenedy Corona,HOU
Milan Tolentino,CLE
Coco Montes,TB
Tristan Peters,TB
Shane McGuire,ATH
Sandy Leon,ATL
