name,team
Brandon Sproat,NYM
Nick Frasso,LAD
Shintaro Fujinami,SEA
Patrick Murphy,TEX
Tink Hence,STL
Francis Pena,SD
Sem Robberse,STL
Doug Nikhazy,CLE
Emiliano Teodo,TEX
Elvin Rodriguez,MIL
Blake Weiman,HOU
Blas Castano,SEA
Angel Bastardo,TOR
Vince Velasquez,CLE
Jose Urquidy,DET
Brooks Kriske,CHC
Andrew Morris,MIN
Nate Lavender,TB
Thomas Pannone,MIL
Ethan Small,SF
Jackson Kowar,SEA
Ryan Webb,CLE
Bradgley Rodriguez,SD
J.B. Wendelken,SD
Jovani Moran,BOS
Brendan White,DET
Daniel Bard,FA
Kade Strowd,BAL
Jeff Brigham,ARI
Justin Hagenman,NYM
Thomas Harrington,PIT
Grant Wolfram,MIL
Clay Helvey,WSH
Logan Evans,SEA
Drew Pomeranz,FA
Huascar Ynoa,MIN
Cade Horton,CHC
Rolddy Munoz,ATL
Luis Patino,SD
Michael Flynn,TB
Elvis Alvarado,ATH
Rico Garcia,NYM
Mason Barnett,ATH
Noah Syndergaard,FA
Michael Darrell-Hicks,LAA
AJ Blubaugh,HOU
Travis Adams,MIN
John Rooney,MIA
Max Rajcic,STL
Michael Rucker,FA
Cory Lewis,MIN
Winston Santos,TEX
Will Dion,CLE
Cam Schlittler,NYY
Yoniel Curet,TB
Matt Pushard,MIA
Oliver Ortega,NYM
Braydon Fisher,TOR
Antonio Jimenez,SF
Eric Lauer,TOR
Anthony Hoopii-Tuionetoa,CWS
Andre Granillo,STL
Jay Groome,SD
Mick Abel,PHI
Mason Adams,CWS
Adonis Medina,SEA
Andry Lara,WSH
Adam Macko,TOR
Joey Gerber,TB
Eric Cerantola,KC
Josh Ekness,MIA
Casey Lawrence,SEA
Yu-Min Lin,ARI
Chandler Champlain,KC
Christian Roa,MIA
Noah Murdock,ATH
Connor Phillips,CIN
Gabriel Hughes,COL
Ken Waldichuk,ATH
Matt Svanson,STL
Andrew Bash,TOR
Bryan Mata,BOS
Robinson Pina,MIA
Connor Prielipp,MIN
Brad Lord,WSH
Ryan Bergert,SD
Blade Tidwell,NYM
Nicholas Padilla,PHI
Drew Rom,STL
Bruce Zimmermann,MIL
Dylan Covey,ATL
Albert Abreu,CIN
Joel Peguero,SF
Brandon Walter,HOU
Sam Bachman,LAA
Wilking Rodriguez,NYY
Jacob Wallace,KC
Joe Elbis,ARI
Nolan McLean,NYM
Luinder Avila,KC
Patrick Monteverde,MIA
Chase Petty,CIN
Taylor Clarke,KC
Zak Kent,CLE
Jordan Balazovic,DET
Alex Cornwell,STL
Kelvin Caceres,LAA
Jason Alexander,ATH
Connor Van Scoyoc,FA
Connor Seabold,TB
Robby Ahlstrom,TEX
Griff McGarry,PHI
Dietrich Enns,DET
Ronan Kopp,LAD
Cole Henry,WSH
Alex Pham,BAL
Justin Dunn,CWS
Ryan Cusick,ATH
Thaddeus Ward,BAL
Justin King,MIA
Jon Duplantier,FA
Tekoah Roby,STL
Robby Snelling,MIA
Rodolfo Martinez,BAL
Miguel Ullola,HOU
Andrew Alvarez,WSH
Camden Minacci,LAA
Dane Acker,TEX
Juan Mejia,COL
Hayden Seig,LAA
Ray Gaither,HOU
Austin Krob,SD
Drue Hackenberg,ATL
Trace Bright,BAL
Jefry Yan,COL
Andrew Moore,CIN
Michael Hobbs,NYM
Misael Tamarez,HOU
Jose Acuna,CIN
Tommy Doyle,COL
Konnor Pilkington,WSH
Randy Labaut,PIT
Moises Chace,PHI
Peyton Pallette,CWS
Braden Nett,SD
Wikelman Gonzalez,CWS
Jesse Scholtens,CWS
Devereaux Harrison,TOR
Carson Palmquist,COL
Ryan Johnson,LAA
Jimmy Lambert,FA
Joe Barlow,TEX
James Kaprielian,FA
Freddy Tarnok,MIA
Royber Salinas,ATL
Michael Arias,NYY
Eduarniel Nunez,SD
Luis Mey,CIN
Tanner Dodson,ATH
